,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2021-02-02,1589,12,278,647,26,138,122,90,6,270
2021-02-03,3560,361,687,1264,106,203,303,200,48,388
2021-02-04,5172,1030,1044,1393,195,293,304,362,63,488
2021-02-05,7430,1783,1369,1638,300,396,529,711,154,550
2021-02-06,7636,1859,1369,1638,412,396,530,712,170,550
2021-02-07,7752,1859,1369,1638,499,396,530,712,199,550
2021-02-08,8905,1938,1525,1879,700,432,690,783,408,550
2021-02-09,9752,1987,1666,2200,715,463,776,825,570,550
2021-02-10,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-11,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-12,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-13,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-14,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-15,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-16,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-17,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-18,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-19,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-20,10313,2021,1674,2218,715,826,881,825,603,550
2021-02-21,10313,2021,1674,2218,715,826,881,825,603,550
2021-02-22,10511,2021,1698,2218,715,880,891,850,603,635
2021-02-23,11331,2040,1840,2462,740,949,1003,899,609,789
2021-02-24,12935,2273,2262,2837,814,999,1157,1049,645,899
2021-02-25,18609,3961,2994,5293,1198,1091,1180,1257,646,989
2021-02-26,18609,3961,2994,5293,1198,1091,1180,1257,646,989
2021-02-27,29813,5635,2994,9117,4465,1192,2399,1893,870,1248
2021-02-28,29813,5635,2994,9117,4465,1192,2399,1893,870,1248
2021-03-01,29813,5635,2994,9117,4465,1192,2399,1893,870,1248
2021-03-02,55617,13965,6374,12846,6268,2099,6172,4257,1917,1719
2021-03-03,55617,13965,6374,12846,6268,2099,6172,4257,1917,1719
2021-03-04,55617,13965,6374,12846,6268,2099,6172,4257,1917,1719
2021-03-05,55617,13965,6374,12846,6268,2099,6172,4257,1917,1719
2021-03-06,106182,25065,18028,26382,6849,5716,9400,7319,5347,2076
2021-03-07,106905,25507,18099,26442,6851,5749,9452,7322,5407,2076
2021-03-08,112066,26349,19158,28389,7136,5937,9784,7506,5677,2130
2021-03-09,119080,27486,20206,31596,7311,6377,10095,7849,5958,2202
2021-03-10,126889,29172,21949,34012,7521,6811,10544,8364,6229,2287
2021-03-11,132286,30354,23117,35382,7666,7109,11108,8802,6392,2356
2021-03-12,137150,31503,24222,36370,7809,7384,11545,9292,6527,2498
2021-03-13,137787,31789,24396,36400,7809,7384,11592,9378,6533,2506
2021-03-14,138218,32067,24486,36417,7809,7391,11631,9378,6533,2506
2021-03-15,141810,33128,25093,37180,7927,7584,11782,9774,6722,2620
2021-03-16,146039,34485,26039,38051,7979,7770,12035,10172,6853,2655
2021-03-17,150593,35573,27106,38737,8050,7973,12468,10926,7029,2731
2021-03-18,155945,36477,27790,40583,8296,8226,12955,11584,7189,2845
2021-03-19,166984,38403,30525,44023,9516,8348,13930,12136,7233,2870
2021-03-20,169058,38864,30525,44079,10531,8374,14204,12300,7311,2870
2021-03-21,170320,39053,30525,44079,11242,8391,14323,12494,7343,2870
2021-03-22,182030,42693,31435,47198,12261,8632,15766,13324,7595,3126
2021-03-23,198399,47832,33648,50172,12869,9235,18295,14808,8215,3325
2021-03-24,218496,52521,39645,54395,13297,10235,20161,15758,8964,3520
2021-03-25,238178,55973,45953,59137,13876,11403,21251,16851,9889,3845
2021-03-26,259171,59730,52816,64779,14339,12562,21924,17755,11192,4074
2021-03-27,263114,60487,53975,65147,14426,12769,21986,18093,12151,4080
2021-03-28,263887,60782,54133,65293,14426,12806,22001,18098,12244,4104
2021-03-29,275810,63613,57183,68487,14848,13394,22379,18314,13348,4244
2021-03-30,289327,66532,61125,72596,15214,13913,22674,18777,14128,4368
2021-03-31,304185,69317,65148,77320,15651,14525,22919,19387,15084,4834
2021-04-01,318115,72209,68675,80601,15970,15159,23471,20015,16368,5647
2021-04-02,320065,72543,68987,81067,15981,15226,23879,20045,16445,5892
2021-04-03,321807,72814,69370,81315,16025,15264,23885,20177,16837,6120
2021-04-04,323081,73267,69536,81759,16033,15310,23937,20184,16858,6197
2021-04-05,339633,76710,74880,84925,16668,16183,24269,21012,18290,6696
2021-04-06,357924,79441,80491,89285,17471,17510,24685,21928,19669,7444
2021-04-07,378455,82339,85636,93884,19348,19303,25763,23199,20978,8005
2021-04-08,400804,85806,90092,97760,21616,22450,27079,24859,22388,8754
2021-04-09,423842,90195,93588,102006,24082,25149,28890,26720,23730,9482
2021-04-10,428502,91374,94359,102492,24909,25635,29161,27080,23872,9620
2021-04-11,431018,91826,94773,103007,25492,25740,29363,27156,23952,9709
2021-04-12,447417,95895,97621,107299,26282,26686,30391,28140,24993,10110
2021-04-13,465896,100444,101252,111451,27392,27747,31408,29296,26155,10751
2021-04-14,486354,105127,105734,115816,28400,28812,32748,30191,27251,12275
2021-04-15,507415,110010,110623,120220,29396,29824,34761,30441,28356,13784
2021-04-16,530496,115550,115354,126312,30474,30833,36136,31051,29560,15226
2021-04-17,536374,116795,115901,126713,31651,31016,37601,31221,29699,15777
2021-04-18,539230,117286,116169,127141,32438,31187,38008,31253,29764,15984
2021-04-19,557394,122061,119443,132182,32965,31808,38913,31815,30887,17320
2021-04-20,577211,127848,122421,137338,33404,32669,40011,32642,32454,18424
2021-04-21,596366,133222,124527,143610,33732,33482,41035,33471,33761,19526
2021-04-22,619794,139005,127818,150478,35583,34295,41708,34944,35224,20739
2021-04-23,647118,144627,130839,155485,39539,35542,45388,36351,37127,22220
2021-04-24,656613,145872,131188,156216,42377,36061,47752,36516,37299,23332
2021-04-25,660610,146845,131397,156411,43979,36643,47932,36540,37338,23525
2021-04-26,688654,151958,136564,163072,44877,38523,50901,38143,39614,25002
2021-04-27,722946,161728,141644,169150,45657,40347,54685,40421,42284,27030
2021-04-28,762044,173020,147445,178274,46487,42106,58120,42601,44871,29120
2021-04-29,799322,183330,153490,187873,47504,44026,60991,44696,47270,30142
2021-04-30,842642,195973,160165,199463,48446,46240,63736,47004,50190,31425
