,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2021-02-02,0,0,0,0,0,0,0,0,0,0
2021-02-03,1971,349,409,617,80,65,181,110,42,118
2021-02-04,1612,669,357,129,89,90,1,162,15,100
2021-02-05,2258,753,325,245,105,103,225,349,91,62
2021-02-06,206,76,0,0,112,0,1,1,16,0
2021-02-07,116,0,0,0,87,0,0,0,29,0
2021-02-08,1153,79,156,241,201,36,160,71,209,0
2021-02-09,847,49,141,321,15,31,86,42,162,0
2021-02-10,415,19,8,18,0,353,0,0,17,0
2021-02-11,0,0,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0,0,0
2021-02-20,134,3,0,0,0,10,105,0,16,0
2021-02-21,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0,0,0,0,0
2021-02-24,0,0,0,0,0,0,0,0,0,0
2021-02-25,1678,34,0,1411,202,0,0,31,0,0
2021-02-26,0,0,0,0,0,0,0,0,0,0
2021-02-27,10233,1674,0,3824,3146,1,994,365,46,183
2021-02-28,0,0,0,0,0,0,0,0,0,0
2021-03-01,0,0,0,0,0,0,0,0,0,0
2021-03-02,24243,8330,3075,3583,1508,706,3530,2241,799,471
2021-03-03,0,0,0,0,0,0,0,0,0,0
2021-03-04,0,0,0,0,0,0,0,0,0,0
2021-03-05,0,0,0,0,0,0,0,0,0,0
2021-03-06,49942,11100,11615,13199,578,3462,3172,3054,3413,349
2021-03-07,723,442,71,60,2,33,52,3,60,0
2021-03-08,5116,842,1059,1947,285,169,332,184,249,49
2021-03-09,6974,1137,1048,3206,175,406,311,341,278,72
2021-03-10,7801,1686,1743,2410,210,432,449,515,271,85
2021-03-11,5337,1182,1168,1366,145,286,526,433,162,69
2021-03-12,4851,1149,1105,987,143,275,429,490,135,138
2021-03-13,637,286,174,30,0,0,47,86,6,8
2021-03-14,431,278,90,17,0,7,39,0,0,0
2021-03-15,3547,1061,607,763,112,193,151,396,150,114
2021-03-16,4218,1357,946,871,52,175,253,398,131,35
2021-03-17,4500,1088,1067,686,71,193,433,754,132,76
2021-03-18,4284,903,684,959,106,252,487,622,157,114
2021-03-19,5229,907,2735,775,79,113,207,344,44,25
2021-03-20,441,124,0,4,78,26,47,132,30,0
2021-03-21,332,39,0,0,61,17,10,173,32,0
2021-03-22,2977,997,596,684,135,121,154,179,74,37
2021-03-23,2462,763,0,757,135,158,238,260,107,44
2021-03-24,4942,797,2499,701,158,217,217,142,119,92
2021-03-25,5538,852,2798,945,290,204,134,67,99,149
2021-03-26,6527,850,3389,1242,151,292,185,99,193,126
2021-03-27,1535,229,372,24,18,58,15,53,766,0
2021-03-28,370,101,88,144,0,10,0,0,3,24
2021-03-29,5315,929,2124,1074,93,194,82,22,752,45
2021-03-30,6477,1415,2697,1327,131,225,47,111,491,33
2021-03-31,7919,1220,2524,2346,288,368,0,74,721,378
2021-04-01,8223,1322,2158,1995,157,436,190,99,1125,741
2021-04-02,994,191,114,383,4,42,3,3,67,187
2021-04-03,1018,53,75,220,35,23,0,7,380,225
2021-04-04,888,129,158,434,8,31,40,0,21,67
2021-04-05,9923,1404,3997,1895,437,516,118,56,1109,391
2021-04-06,13630,1465,4733,3248,712,1169,198,216,1275,614
2021-04-07,16207,1992,4176,3741,1773,1629,630,579,1185,502
2021-04-08,17969,2419,3556,2928,2150,2908,868,1215,1267,658
2021-04-09,19069,3094,2886,3374,2382,2494,1454,1415,1276,694
