,Bolivia,Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosí,Santa Cruz,Tarija
2021-02-03,3560,48,303,687,361,106,388,203,1264,200
2021-02-04,5172,63,304,1044,1030,195,488,293,1393,362
2021-02-05,7430,154,529,1369,1783,300,550,396,1638,711
2021-02-06,7636,170,530,1369,1859,412,550,396,1638,712
2021-02-07,7752,199,530,1369,1859,499,550,396,1638,712
2021-02-08,8905,408,690,1525,1938,700,550,432,1879,783
2021-02-09,9752,570,776,1666,1987,715,550,463,2200,825
2021-02-10,10167,587,776,1674,2006,715,550,816,2218,825
2021-02-22,10301,603,881,1674,2009,715,550,826,2218,825
2021-02-23,10301,603,881,1674,2009,715,550,826,2218,825
2021-02-24,10301,603,881,1674,2009,715,550,826,2218,825
2021-02-25,10325,603,881,1674,2033,715,550,826,2218,825
2021-02-28,10325,603,881,1674,2033,715,550,826,2218,825
2021-03-02,10325,603,881,1674,2033,715,550,826,2218,825
2021-03-03,10325,603,881,1674,2033,715,550,826,2218,825
2021-03-04,10325,603,881,1674,2033,715,550,826,2218,825
2021-03-05,10325,603,881,1674,2033,715,550,826,2218,825
2021-03-06,96397,4861,8577,16364,23147,6149,1553,4995,24235,6516
2021-03-07,97120,4921,8629,16435,23589,6151,1553,5028,24295,6519
2021-03-08,102236,5170,8961,17494,24431,6436,1602,5197,26242,6703
2021-03-09,109210,5448,9272,18542,25568,6611,1674,5603,29448,7044
2021-03-10,117011,5719,9721,20285,27254,6821,1759,6035,31858,7559
2021-03-11,122348,5881,10247,21453,28436,6966,1828,6321,33224,7992
2021-03-12,127199,6016,10676,22558,29585,7109,1966,6596,34211,8482
2021-03-13,127836,6022,10723,22732,29871,7109,1974,6596,34241,8568
2021-03-14,128267,6022,10762,22822,30149,7109,1974,6603,34258,8568
2021-03-15,131814,6172,10913,23429,31210,7221,2088,6796,35021,8964
2021-03-16,136032,6303,11166,24375,32567,7273,2123,6971,35892,9362
2021-03-17,140532,6435,11599,25442,33655,7344,2199,7164,36578,10116
2021-03-18,144816,6592,12086,26126,34558,7450,2313,7416,37537,10738
2021-03-19,150045,6636,12293,28861,35465,7529,2338,7529,38312,11082
2021-03-20,148588,6666,12340,26963,35589,7607,2338,7555,38316,11214
2021-03-21,148975,6698,12350,27018,35628,7668,2338,7572,38316,11387
2021-03-22,151952,6772,12504,27614,36625,7803,2375,7693,39000,11566
2021-03-23,155962,6879,12742,29162,37388,7938,2419,7851,39757,11826
2021-03-24,160904,6998,12959,31661,38185,8096,2511,8068,40458,11968
2021-03-25,166737,7097,13093,34754,39037,8386,2660,8272,41403,12035
2021-03-26,173264,7290,13278,38143,39887,8537,2786,8564,42645,12134
2021-03-27,174799,8056,13293,38515,40116,8555,2786,8622,42669,12187
2021-03-28,175169,8059,13293,38603,40217,8555,2810,8632,42813,12187
2021-03-29,180484,8811,13375,40727,41146,8648,2855,8826,43887,12209
2021-03-30,186985,9302,13446,43424,42561,8779,2888,9051,45214,12320
2021-03-31,194880,10023,13422,45948,43781,9067,3266,9419,47560,12394
2021-04-01,203103,11148,13612,48106,45103,9224,4007,9855,49555,12493
2021-04-02,204097,11215,13615,48220,45294,9228,4194,9897,49938,12496
2021-04-03,205115,11595,13615,48295,45347,9263,4419,9920,50158,12503
