,Bolivia,Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosí,Santa Cruz,Tarija
2021-04-04,206003,11616,13655,48453,45476,9271,4486,9951,50592,12503
2021-04-05,215926,12725,13773,52450,46880,9708,4877,10467,52487,12559
2021-04-06,229556,14000,13971,57183,48345,10420,5491,11636,55735,12775
2021-04-07,245763,15185,14601,61359,50337,12193,5993,13265,59476,13354
2021-04-08,263732,16452,15469,64915,52756,14343,6651,16173,62404,14569
2021-04-09,282801,17728,16923,67801,55850,16725,7345,18667,65778,15984
2021-04-10,287004,17861,17143,68510,56865,17530,7483,19084,66235,16293
2021-04-11,289353,17907,17345,68893,57290,18112,7563,19162,66714,16367
2021-04-12,302991,18817,18156,71100,60740,18791,7933,19877,70452,17125
2021-04-13,317701,19892,18875,73243,64717,19732,8523,20729,73921,18069
2021-04-14,333137,20875,19905,75297,68589,20576,9962,21543,77537,18853
2021-04-15,348595,21882,21626,77227,72698,21395,11381,22290,81014,19082
2021-04-16,365333,22910,22831,78766,77338,22257,12689,23047,86029,19466
2021-04-17,370483,23029,24294,79009,78373,23410,13227,23201,86371,19569
2021-04-18,373139,23086,24701,79226,78773,24196,13432,23343,86799,19583
2021-04-19,385889,24126,25488,80272,82619,24628,14712,23795,90180,20069
2021-04-20,400087,25571,26531,81786,87229,24948,15757,24329,93117,20819
2021-04-21,413643,26781,27463,83122,91518,25009,16825,24846,96503,21576
2021-04-22,431138,28058,28010,85512,96144,26709,18022,25308,100428,22947
2021-04-23,456643,29929,31665,88322,101417,30613,19468,26456,104522,24251
2021-04-24,465823,30090,34027,88621,102595,33413,20579,26896,105194,24408
2021-04-25,469586,30127,34200,88796,103457,35005,20767,27413,105389,24432
2021-04-26,490495,32253,37085,91597,107322,35715,22236,28685,109633,25969
2021-04-27,516958,34455,40758,94317,115600,36073,24242,29570,113903,28040
2021-04-28,547471,36460,43774,98608,125140,36222,26304,30304,120726,29933
2021-04-29,576819,38117,46138,103509,134074,36331,27258,31256,128491,31645
2021-04-30,610534,40364,48024,109207,144447,36382,28501,32580,137510,33519
2021-05-01,614600,40565,48900,109593,145590,36404,28764,33007,137880,33897
2021-05-02,616436,40609,49566,109884,146069,36404,28855,33116,138013,33920
2021-05-03,637694,41392,50960,113785,153410,36413,29209,33954,144159,34412
2021-05-04,663041,42603,52506,120092,157293,37763,29481,34846,152947,35510
2021-05-05,689633,43911,53563,127498,163500,39119,29720,35850,160242,36230
2021-05-06,710240,44954,54466,131774,172068,39345,29905,36448,164341,36939
2021-05-07,728194,46806,55222,132498,180576,39359,30056,37704,168324,37649
2021-05-08,733305,48101,55513,132629,182362,39360,30103,38141,169188,37908
2021-05-09,734162,48160,55661,132634,182631,39360,30121,38358,169318,37919
2021-05-10,741658,49746,56086,132961,183711,39359,30227,39510,171552,38506
2021-05-11,748839,51862,56381,133328,184738,39360,30341,40697,173099,39033
2021-05-12,754525,53200,56807,133718,185639,39360,30378,41829,173892,39702
2021-05-13,776914,54820,56817,143754,191764,39360,30531,43082,176813,39973
2021-05-14,810391,56685,56977,157224,200890,39373,30746,44841,183310,40345
2021-05-15,818489,56972,57752,160763,202103,40206,30762,45298,184161,40472
2021-05-16,821241,57103,58127,161283,202305,40725,30813,46147,184188,40550
2021-05-17,857492,58265,58214,170310,210389,42912,31176,47982,195718,42526
2021-05-18,902833,59550,59922,181004,219156,47436,31464,49679,209749,44873
2021-05-19,951833,60766,62246,194135,228764,52030,31759,51250,223441,47442
2021-05-20,1004613,62186,65244,209566,237844,56312,32144,53199,237939,50179
2021-05-21,1058435,63421,68412,223308,247427,59873,32650,55552,254614,53178
2021-05-22,1071682,63749,70242,226392,250019,61478,32826,57000,256148,53828
2021-05-23,1076124,63871,71618,227104,251176,61599,32978,57536,256315,53927
2021-05-24,1112812,64972,74286,236343,259119,63067,33264,59078,266271,56412
2021-05-25,1145107,65902,75076,245065,266217,64903,33658,60562,274734,58990
2021-05-26,1185725,66929,77855,253107,276131,66684,34023,61857,286897,62242
2021-05-27,1224313,67308,80245,259520,285659,69060,34201,63053,301116,64151
2021-05-28,1271262,68373,83065,266966,297990,71828,34343,64626,317361,66710
2021-05-29,1283524,68512,84178,267734,302156,73158,34403,65549,319001,68833
2021-05-30,1288278,68615,84626,268621,304086,73404,34425,65924,319159,69418
2021-05-31,1331789,69402,87095,274469,314020,75553,34753,67664,335920,72913
2021-06-01,1376792,70456,88620,280908,326302,77615,35047,69355,352884,75605
2021-06-02,1412650,71404,89820,285062,337215,79014,35338,70821,366713,77263
2021-06-03,1420596,71673,90795,285716,338886,79597,35431,71484,368907,78107
2021-06-04,1444171,72655,92707,286903,345399,80981,35715,72629,376220,80962
2021-06-05,1451108,72931,93781,287183,348199,81391,35793,73265,377159,81406
2021-06-06,1454262,73017,94501,287486,349571,81493,35799,73679,377247,81469
2021-06-07,1470833,73696,95623,290184,355224,81645,35965,74862,381548,82086
2021-06-08,1490937,75040,96803,291443,362322,82418,36243,76703,386613,83352
2021-06-09,1505972,75807,97814,292513,367962,83308,36417,77752,390174,84225
2021-06-10,1516226,76505,98193,293206,371797,84021,36565,78324,392819,84796
2021-06-11,1538429,78100,98570,294377,379364,87237,36814,79636,398695,85636
2021-06-12,1542588,78615,98632,294541,380680,87450,36922,80132,399600,86016
2021-06-13,1544730,78688,98864,294729,381377,87468,36943,80773,399758,86130
2021-06-14,1556720,79436,99094,295191,384591,87579,37052,81991,405231,86555
2021-06-15,1572351,80121,99366,297688,388335,88107,37188,83389,410799,87358
2021-06-16,1594489,80967,100249,302310,392255,89601,37345,84641,417274,89847
2021-06-17,1615514,81931,101550,306901,396858,90755,37626,85550,422664,91679
2021-06-18,1634281,82516,102508,310834,401732,91778,37925,86489,427597,92902
2021-06-19,1639526,82782,102677,311133,403522,92377,38045,86977,428873,93140
2021-06-20,1643870,82836,102733,311197,404466,92384,38053,87082,431953,93166
2021-06-21,1645289,82866,102798,311267,405088,92401,38065,87470,432072,93262
2021-06-22,1658589,83388,103466,314471,408670,93042,38183,88027,435565,93777
2021-06-23,1684182,84039,104901,319353,416093,93674,38431,88714,444626,94351
2021-06-24,1723159,84651,106437,325510,425288,94564,38615,89447,460685,97962
2021-06-25,1766995,85300,108095,332656,434925,95880,38761,92046,477491,101841
2021-06-26,1778282,85489,108580,333168,436619,96875,38770,92320,482171,104290
2021-06-27,1788228,85588,108672,333600,437629,96984,38808,92649,489817,104481
2021-06-28,1823110,86009,110022,338663,445199,98245,38883,93805,504391,107893
2021-06-29,1857751,86591,111302,343310,452510,100038,39021,95426,518160,111393
2021-06-30,1885313,87077,112444,347897,458753,101357,39090,96281,527751,114663
2021-07-01,1927217,88095,114757,356912,469349,103575,39314,97545,538426,119244
2021-07-02,1987768,89185,118275,369116,484244,106810,39461,99455,556530,124692
2021-07-03,2002991,89412,119624,371140,486904,107727,39481,100759,560261,127683
2021-07-04,2024454,89558,121414,373197,489471,108221,39508,102295,571750,129040
2021-07-05,2062126,90275,123480,379744,497109,109599,39560,103184,586420,132755
2021-07-06,2138120,91656,127403,391861,515929,113445,39661,105586,614905,137674
2021-07-07,2204299,93538,130885,401681,528989,115999,39772,107954,641236,144245
2021-07-08,2249566,95026,133590,410017,539790,117894,39943,110081,654189,149036
2021-07-09,2289932,96254,136565,417984,552244,120490,40082,112836,660136,153341
2021-07-10,2304075,96291,137753,419919,555156,121050,40096,114166,665109,154535
2021-07-11,2321231,96334,138711,421051,556773,121279,40127,114717,677101,155138
2021-07-12,2373566,97460,141080,429161,568625,123263,40250,116384,698712,158631
2021-07-13,2429365,98395,144244,437793,581120,124976,40362,119081,720779,162615
2021-07-14,2481712,99323,147527,447018,592399,126472,40466,121106,741116,166285
2021-07-15,2528061,100446,150124,453988,604493,128125,40570,122700,757811,169804
2021-07-16,2561664,101448,153351,461793,604890,130128,40788,124668,771409,173189
2021-07-17,2574283,101645,154925,465406,606804,130582,40871,125419,773871,174760
2021-07-18,2598991,101800,155670,469941,617441,130797,40884,126157,780044,176257
2021-07-19,2638918,102717,158466,476690,627083,132690,40965,128056,793085,179166
2021-07-20,2676162,103677,161051,483417,635502,134055,41090,129906,805109,182355
2021-07-21,2713001,104742,163808,489306,645269,135401,41201,131551,815918,185805
2021-07-22,2742827,105532,165597,495065,652591,136702,41314,132935,824488,188603
2021-07-23,2769830,106317,167454,500197,658164,138096,41440,134244,832805,191113
2021-07-24,2778656,106438,168369,502100,659613,138543,41495,134825,834923,192350
2021-07-25,2788135,106491,168795,504351,660244,138878,41606,135275,839038,193457
2021-07-26,2810735,107270,170386,509555,663264,140633,41790,136189,846232,195416
2021-07-27,2834736,108223,172184,515075,666052,141992,42042,137412,853930,197826
2021-07-28,2851331,108834,173399,517764,667566,143015,42142,137817,861467,199327
2021-07-29,2863296,109305,174125,519941,668458,143772,42204,138068,866725,200698
2021-07-30,2874284,109890,174918,521181,669268,144518,42270,138351,872172,201716
2021-07-31,2878065,109901,175238,521497,669530,144878,42273,138440,874033,202275
2021-08-01,2881439,109901,175385,521659,669776,144885,42273,138461,876403,202696
2021-08-02,2893680,110359,176420,522926,670359,145965,42341,138684,882740,203886
2021-08-03,2903925,110811,177056,524973,671557,146708,42389,138858,886711,204862
2021-08-05,2923829,111581,177860,529307,674653,148077,42496,139141,894290,206424
2021-08-06,2924399,111585,177898,529361,674669,148107,42496,139152,894309,206822
2021-08-07,2926271,111593,177951,530102,675142,148177,42496,139204,894582,207024
2021-08-08,2929060,111593,178004,530825,675883,148181,42497,139249,895794,207034
2021-08-09,2939877,111944,178396,532834,678088,148961,42538,139456,899791,207869
2021-08-10,2949156,112302,178804,534516,680085,149576,42588,139724,903022,208539
2021-08-11,2957194,112546,179082,535916,681832,150048,42626,139983,906187,208974
2021-08-12,2965434,112822,179302,537226,683848,150595,42677,140228,909443,209293
2021-08-13,2977801,113231,179691,539003,686379,151182,42749,140632,915134,209800
2021-08-14,2982798,113243,179794,539339,689058,151394,42749,140688,916678,209855
2021-08-15,2989471,113244,179845,539968,691966,151400,42749,140747,919661,209891
2021-08-16,3000981,113663,180159,541529,694863,152004,42804,141235,924216,210508
2021-08-17,3012437,114106,180453,543251,697689,152630,42845,141663,928765,211035
2021-08-18,3023644,114680,180744,545314,700527,153406,42951,142039,932437,211546
2021-08-19,3033516,115140,181015,547501,702717,154144,43000,142509,935481,212009
2021-08-20,3044011,115572,181274,549761,705525,154751,43081,142916,938683,212448
2021-08-21,3047628,115583,181349,550262,707010,154881,43101,143187,939751,212504
2021-08-22,3051554,115592,181401,551146,708566,154887,43102,143322,941024,212514
2021-08-23,3061404,115995,181630,553116,710951,155518,43166,143743,944214,213071
2021-08-24,3079002,116728,182091,557033,715041,156794,43289,144517,949602,213907
2021-08-25,3094427,117402,182492,560242,718753,157792,43393,145061,954638,214654
2021-08-26,3151833,118636,184609,570579,731838,160137,43519,146444,977697,218374
2021-08-27,3172621,119397,185239,574389,736367,161156,43629,147268,985890,219286
2021-08-28,3185497,119461,185545,577888,740993,161347,43648,147885,989360,219370
2021-08-29,3198735,119524,185765,581486,745557,161376,43654,148440,993534,219399
2021-08-30,3230897,123276,193399,583054,749780,161888,44335,159697,994976,220492
2021-08-31,3253313,123889,193888,588860,755460,163055,44555,160919,1001434,221253
2021-09-01,3261376,124461,195932,588880,756698,164130,44935,163074,1001483,221783
2021-09-03,3272517,125325,197447,588961,759013,165766,45869,166007,1001617,222512
2021-09-04,3276752,125639,197922,589022,759798,166371,46283,167140,1001679,222898
2021-09-05,3277301,125664,197935,589022,759844,166564,46283,167356,1001693,222940
2021-09-06,3282322,126021,198442,589044,760749,167277,46832,168559,1001759,223639
