fecha,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2021-02-03,,,,,,,,,,
2021-02-04,0.01,0.02,0.02,0.0,0.02,0.01,0.0,0.03,0.0,0.06
2021-02-05,0.02,0.03,0.02,0.01,0.02,0.01,0.04,0.06,0.02,0.04
2021-02-06,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
2021-02-07,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0
2021-02-08,0.01,0.0,0.01,0.01,0.04,0.0,0.03,0.01,0.04,0.0
2021-02-09,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.03,0.0
2021-02-10,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
2021-02-11,,,,,,,,,,
2021-02-12,,,,,,,,,,
2021-02-13,,,,,,,,,,
2021-02-14,,,,,,,,,,
2021-02-15,,,,,,,,,,
2021-02-16,,,,,,,,,,
2021-02-17,,,,,,,,,,
2021-02-18,,,,,,,,,,
2021-02-19,,,,,,,,,,
2021-02-20,,,,,,,,,,
2021-02-21,,,,,,,,,,
2021-02-22,,,,,,,,,,
2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-26,,,,,,,,,,
2021-02-27,,,,,,,,,,
2021-02-28,,,,,,,,,,
2021-03-01,,,,,,,,,,
2021-03-02,,,,,,,,,,
2021-03-03,0.19,0.18,0.18,0.16,0.25,0.12,0.3,0.24,0.22,0.16
2021-03-04,0.19,0.18,0.18,0.16,0.25,0.12,0.3,0.24,0.22,0.16
2021-03-05,0.19,0.18,0.18,0.16,0.25,0.12,0.3,0.24,0.22,0.16
2021-03-06,0.19,0.18,0.18,0.16,0.25,0.12,0.3,0.24,0.22,0.16
2021-03-07,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0
2021-03-08,0.04,0.03,0.05,0.06,0.05,0.02,0.05,0.03,0.05,0.03
2021-03-09,0.06,0.04,0.05,0.1,0.03,0.05,0.05,0.06,0.06,0.05
2021-03-10,0.07,0.06,0.09,0.07,0.04,0.05,0.07,0.09,0.06,0.06
2021-03-11,0.05,0.04,0.06,0.04,0.03,0.03,0.08,0.07,0.03,0.04
2021-03-12,0.04,0.04,0.05,0.03,0.03,0.03,0.07,0.08,0.03,0.09
2021-03-13,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01
2021-03-14,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
2021-03-15,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.07,0.03,0.07
2021-03-16,0.04,0.05,0.05,0.03,0.01,0.02,0.04,0.07,0.03,0.02
2021-03-17,0.04,0.04,0.05,0.02,0.01,0.02,0.07,0.13,0.03,0.05
2021-03-18,0.04,0.03,0.03,0.03,0.02,0.03,0.08,0.11,0.03,0.07
2021-03-19,0.03,0.03,0.13,0.02,0.01,0.01,0.03,0.06,0.01,0.02
2021-03-20,0.0,0.0,-0.09,0.0,0.01,0.0,0.01,0.02,0.01,0.0
2021-03-21,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.01,0.0
2021-03-22,0.03,0.03,0.03,0.02,0.03,0.01,0.02,0.03,0.02,0.02
2021-03-23,0.03,0.03,0.08,0.02,0.03,0.02,0.04,0.04,0.02,0.03
2021-03-24,0.04,0.03,0.12,0.02,0.03,0.02,0.03,0.02,0.02,0.06
2021-03-25,0.05,0.03,0.15,0.03,0.05,0.02,0.02,0.01,0.02,0.1
2021-03-26,0.06,0.03,0.17,0.04,0.03,0.03,0.03,0.02,0.04,0.08
2021-03-27,0.01,0.01,0.02,0.0,0.0,0.01,0.0,0.01,0.16,0.0
2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2021-03-29,0.05,0.03,0.1,0.03,0.02,0.02,0.01,0.0,0.16,0.03
2021-03-30,0.06,0.05,0.13,0.04,0.02,0.02,0.01,0.02,0.1,0.02
2021-03-31,0.07,0.04,0.12,0.07,0.05,0.04,-0.0,0.01,0.15,0.25
2021-04-01,0.07,0.05,0.11,0.06,0.03,0.05,0.03,0.02,0.23,0.48
2021-04-02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.12
2021-04-03,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.08,0.15
2021-04-04,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.04
2021-04-05,0.09,0.05,0.2,0.06,0.08,0.06,0.02,0.01,0.23,0.25
2021-04-06,0.12,0.05,0.23,0.1,0.13,0.13,0.03,0.04,0.27,0.4
2021-04-07,0.14,0.07,0.21,0.11,0.33,0.18,0.1,0.1,0.25,0.33
2021-04-08,0.15,0.08,0.18,0.09,0.4,0.32,0.14,0.21,0.26,0.43
2021-04-09,0.16,0.11,0.14,0.1,0.44,0.28,0.23,0.24,0.27,0.45
2021-04-10,0.04,0.03,0.03,0.01,0.15,0.05,0.03,0.05,0.03,0.09
2021-04-11,0.02,0.01,0.02,0.01,0.11,0.01,0.03,0.01,0.01,0.05
2021-04-12,0.12,0.12,0.11,0.11,0.13,0.08,0.13,0.13,0.19,0.24
2021-04-13,0.13,0.14,0.11,0.1,0.17,0.09,0.11,0.16,0.22,0.38
2021-04-14,0.13,0.13,0.1,0.11,0.16,0.09,0.16,0.13,0.2,0.93
2021-04-15,0.13,0.14,0.1,0.1,0.15,0.08,0.27,0.04,0.21,0.92
2021-04-16,0.14,0.16,0.08,0.15,0.16,0.08,0.19,0.07,0.21,0.85
2021-04-17,0.04,0.04,0.01,0.01,0.21,0.02,0.23,0.02,0.02,0.35
2021-04-18,0.02,0.01,0.01,0.01,0.15,0.02,0.06,0.0,0.01,0.13
2021-04-19,0.11,0.13,0.05,0.1,0.08,0.05,0.12,0.08,0.22,0.83
2021-04-20,0.12,0.16,0.07,0.09,0.06,0.06,0.16,0.13,0.3,0.68
2021-04-21,0.12,0.15,0.07,0.1,0.01,0.06,0.15,0.13,0.25,0.69
2021-04-22,0.15,0.16,0.12,0.12,0.32,0.05,0.09,0.24,0.27,0.78
2021-04-23,0.22,0.18,0.14,0.12,0.73,0.13,0.57,0.22,0.39,0.94
2021-04-24,0.08,0.04,0.01,0.02,0.52,0.05,0.37,0.03,0.03,0.72
2021-04-25,0.03,0.03,0.01,0.01,0.3,0.06,0.03,0.0,0.01,0.12
2021-04-26,0.18,0.13,0.14,0.13,0.13,0.14,0.45,0.26,0.44,0.95
2021-04-27,0.23,0.28,0.13,0.13,0.07,0.1,0.58,0.36,0.46,1.3
2021-04-28,0.26,0.33,0.21,0.2,0.03,0.08,0.47,0.32,0.42,1.34
2021-04-29,0.25,0.31,0.24,0.23,0.02,0.11,0.37,0.29,0.35,0.62
2021-04-30,0.29,0.35,0.28,0.27,0.01,0.15,0.3,0.32,0.47,0.81
2021-05-01,0.03,0.04,0.02,0.01,0.0,0.05,0.14,0.06,0.04,0.17
2021-05-02,0.02,0.02,0.01,0.0,0.0,0.01,0.1,0.0,0.01,0.06
2021-05-03,0.18,0.25,0.19,0.18,0.0,0.09,0.22,0.08,0.16,0.23
2021-05-04,0.22,0.13,0.31,0.26,0.25,0.1,0.24,0.19,0.25,0.18
2021-05-05,0.23,0.21,0.37,0.22,0.25,0.11,0.17,0.12,0.27,0.16
2021-05-06,0.18,0.29,0.21,0.12,0.04,0.07,0.14,0.12,0.22,0.12
2021-05-07,0.15,0.29,0.04,0.12,0.0,0.14,0.12,0.12,0.39,0.1
2021-05-08,0.04,0.06,0.01,0.03,0.0,0.05,0.05,0.04,0.27,0.03
2021-05-09,0.01,0.01,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.01
2021-05-10,0.06,0.04,0.02,0.07,-0.0,0.13,0.07,0.1,0.33,0.07
2021-05-11,0.06,0.04,0.02,0.05,0.0,0.13,0.05,0.09,0.44,0.07
2021-05-12,0.05,0.03,0.02,0.02,0.0,0.13,0.07,0.11,0.28,0.02
2021-05-13,0.19,0.21,0.49,0.09,0.0,0.14,0.0,0.05,0.34,0.1
2021-05-14,0.29,0.31,0.66,0.19,0.0,0.2,0.03,0.06,0.39,0.14
2021-05-15,0.07,0.04,0.17,0.03,0.15,0.05,0.12,0.02,0.06,0.01
2021-05-16,0.02,0.01,0.03,0.0,0.1,0.09,0.06,0.01,0.03,0.03
2021-05-17,0.31,0.28,0.44,0.34,0.41,0.2,0.01,0.34,0.24,0.24
2021-05-18,0.39,0.3,0.53,0.42,0.84,0.19,0.27,0.4,0.27,0.19
2021-05-19,0.42,0.33,0.65,0.41,0.85,0.17,0.36,0.44,0.25,0.19
2021-05-20,0.45,0.31,0.76,0.43,0.8,0.22,0.47,0.47,0.3,0.25
2021-05-21,0.46,0.33,0.68,0.49,0.66,0.26,0.5,0.51,0.26,0.33
2021-05-22,0.11,0.09,0.15,0.05,0.3,0.16,0.29,0.11,0.07,0.11
2021-05-23,0.04,0.04,0.04,0.0,0.02,0.06,0.22,0.02,0.03,0.1
2021-05-24,0.32,0.27,0.46,0.3,0.27,0.17,0.42,0.43,0.23,0.19
2021-05-25,0.28,0.24,0.43,0.25,0.34,0.16,0.12,0.44,0.19,0.26
2021-05-26,0.35,0.34,0.4,0.36,0.33,0.14,0.44,0.56,0.21,0.24
2021-05-27,0.33,0.33,0.32,0.42,0.44,0.13,0.38,0.33,0.08,0.12
