,Bolivia,Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosí,Santa Cruz,Tarija
2021-02-03,0,0,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0,0,0
2021-02-20,0,0,0,0,0,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,0,0,0
2021-02-23,820,6,112,142,19,25,154,69,244,49
2021-02-24,1604,36,154,422,233,74,110,50,375,150
2021-02-25,4020,1,23,732,1678,182,90,92,1045,177
2021-02-26,357,64,75,0,0,68,25,33,0,90
2021-02-27,357,64,75,0,0,68,25,33,0,90
2021-02-28,357,64,75,0,0,68,25,33,0,90
2021-03-01,730,116,121,152,0,105,0,100,73,61
2021-03-02,730,116,121,152,0,105,0,100,73,61
2021-03-03,378,4,0,36,0,0,0,81,252,5
2021-03-04,160,6,22,3,0,2,0,49,78,0
2021-03-05,85,7,34,0,0,1,8,25,7,3
2021-03-06,86072,4258,7696,14690,21114,5434,1003,4169,22017,5691
2021-03-07,723,60,52,71,442,2,0,33,60,3
2021-03-08,5161,270,332,1059,842,285,54,188,1947,184
2021-03-09,7014,281,311,1048,1137,175,72,440,3207,343
2021-03-10,7809,271,449,1743,1686,210,85,434,2416,515
2021-03-11,5397,163,564,1168,1182,145,69,298,1370,438
2021-03-12,4864,135,437,1105,1149,143,142,275,988,490
2021-03-13,637,6,47,174,286,0,8,0,30,86
2021-03-14,431,0,39,90,278,0,0,7,17,0
2021-03-15,3592,189,151,607,1061,118,114,193,763,396
2021-03-16,4229,131,253,946,1357,52,35,186,871,398
2021-03-17,4554,176,433,1067,1088,71,76,203,686,754
2021-03-18,5352,160,487,684,904,246,114,253,1846,658
2021-03-19,11039,44,975,2735,1926,1220,25,122,3440,552
2021-03-20,176,78,274,-1898,461,1015,0,26,56,164
2021-03-21,1317,32,119,55,189,711,0,17,0,194
2021-03-22,11710,252,1443,910,3640,1019,256,241,3119,830
2021-03-23,17917,620,2529,3761,5139,608,199,603,2974,1484
2021-03-24,20097,749,1866,5997,4689,428,195,1000,4223,950
2021-03-25,19977,925,1090,6603,3452,579,325,1168,4742,1093
2021-03-26,20993,1303,673,6863,3757,463,229,1159,5642,904
2021-03-27,3943,959,62,1159,757,87,6,207,368,338
2021-03-28,773,93,15,158,295,0,24,37,146,5
2021-03-29,11923,1104,378,3050,2831,422,140,588,3194,216
2021-03-30,13541,780,319,3942,2919,366,124,519,4109,463
2021-03-31,14834,956,221,4023,2785,437,466,612,4724,610
2021-04-01,13630,1284,552,3227,2892,319,813,634,3281,628
2021-04-02,2250,77,408,612,334,11,245,67,466,30
2021-04-03,1742,392,6,383,271,44,228,38,248,132
2021-04-04,1274,21,52,166,453,8,77,46,444,7
2021-04-05,16552,1432,332,5344,3443,635,499,873,3166,828
2021-04-06,18291,1379,416,5611,2731,803,748,1327,4360,916
2021-04-07,20531,1309,1078,5145,2898,1877,561,1793,4599,1271
2021-04-08,22349,1410,1316,4456,3467,2268,749,3147,3876,1660
2021-04-09,23038,1342,1811,3496,4389,2466,728,2699,4246,1861
2021-04-10,4660,142,271,771,1179,827,138,486,486,360
2021-04-11,2516,80,202,414,452,583,89,105,515,76
2021-04-12,16399,1041,1028,2848,4069,790,401,946,4292,984
2021-04-13,18479,1162,1017,3631,4549,1110,641,1061,4152,1156
2021-04-14,20458,1096,1340,4482,4683,1008,1524,1065,4365,895
2021-04-15,21061,1105,2013,4889,4883,996,1509,1012,4404,250
2021-04-16,23081,1204,1375,4731,5540,1078,1442,1009,6092,610
2021-04-17,5878,139,1465,547,1245,1177,551,183,401,170
2021-04-18,2856,65,407,268,491,787,207,171,428,32
2021-04-19,18164,1123,905,3274,4775,527,1336,621,5041,562
2021-04-20,19817,1567,1098,2978,5787,439,1104,861,5156,827
2021-04-21,19155,1307,1024,2106,5374,328,1102,813,6272,829
2021-04-22,23428,1463,673,3291,5783,1851,1213,813,6868,1473
2021-04-23,27324,1903,3680,3021,5622,3956,1481,1247,5007,1407
2021-04-24,9495,172,2364,349,1245,2838,1112,519,731,165
2021-04-25,3997,39,180,209,973,1602,193,582,195,24
2021-04-26,28044,2276,2969,5167,5113,898,1477,1880,6661,1603
2021-04-27,34292,2670,3784,5080,9770,780,2028,1824,6078,2278
2021-04-28,39098,2587,3435,5801,11292,830,2090,1759,9124,2180
2021-04-29,37278,2399,2871,6045,10310,1017,1022,1920,9599,2095
2021-04-30,45320,2920,4745,6675,12643,942,1283,2214,11590,2308
2021-05-01,3507,274,-1039,471,1635,423,308,467,548,420
2021-05-02,3043,82,684,428,834,411,94,271,190,49
2021-05-03,27371,1221,1790,4797,8728,424,391,1257,7925,838
2021-05-04,31300,1799,2154,7163,5023,1709,298,1400,10184,1570
2021-05-05,31556,1927,1604,7784,7246,1676,286,1510,8555,968
2021-05-06,25127,1475,1363,4705,9384,440,231,1198,5479,852
2021-05-07,23754,2500,1006,1093,9895,295,224,1677,6204,860
2021-05-08,6996,1465,548,259,2370,312,71,566,1118,287
2021-05-09,1522,84,220,39,514,80,23,351,183,28
2021-05-10,12163,2086,649,651,2265,148,135,1577,3874,778
2021-05-11,11438,2606,588,486,2313,220,146,1516,2886,677
2021-05-12,8708,1498,600,575,2068,102,48,1515,1419,883
2021-05-13,25768,2034,106,10252,7090,70,203,1418,3812,783
2021-05-14,37070,2250,329,13651,10195,130,288,2046,7523,658
2021-05-15,9106,370,814,3564,1800,864,18,559,935,182
2021-05-16,3654,139,448,564,669,562,60,1100,33,79
2021-05-17,39329,1552,159,9131,8940,2253,470,2370,12258,2196
2021-05-18,48518,1727,1849,10733,9713,4648,404,2165,14717,2562
2021-05-19,51540,1593,2439,13197,10457,4624,443,1846,14187,2754
2021-05-20,55089,1662,3020,15499,9964,4295,610,2121,14968,2950
2021-05-21,55844,1426,3307,13843,10420,3577,630,2455,17024,3162
