,Bolivia,Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosí,Santa Cruz,Tarija
2021-05-22,14171,401,2055,3134,3032,1612,228,1531,1474,704
2021-05-23,5278,157,1700,715,1391,121,211,547,333,103
2021-05-24,39126,1259,2888,9305,8617,1473,389,1644,10934,2617
2021-05-25,42024,1044,1454,11350,8130,1845,480,1748,13043,2930
2021-05-26,54313,1153,3334,10759,14197,3503,448,1451,15790,3678
2021-05-27,52392,468,2660,9385,16750,2849,243,1317,16454,2266
2021-05-28,52309,1329,3019,7523,15395,2828,169,1670,17310,3066
2021-05-29,13515,195,1471,771,4511,1334,102,1127,1644,2360
2021-05-30,5370,154,672,897,2183,246,30,427,166,595
2021-05-31,46340,962,3005,5889,10738,2168,453,1871,17263,3991
2021-06-01,47916,1215,1961,6563,13277,2277,347,1882,17255,3139
2021-06-02,38004,1174,1295,4329,11561,1532,362,1618,14075,2058
2021-06-03,8874,349,1106,839,1874,595,130,728,2375,878
2021-06-04,38208,1197,2328,3645,13788,1430,341,1320,11166,2993
2021-06-05,10761,353,2117,667,4146,586,92,742,1559,499
2021-06-06,3914,88,729,578,1524,271,44,461,144,75
2021-06-07,49142,813,1127,15978,13392,1381,254,1261,13240,1696
2021-06-08,61393,1551,2609,13990,16363,3397,647,2042,16993,3801
2021-06-09,43311,961,3150,8433,13354,2583,357,1267,11418,1788
2021-06-10,29394,871,2068,5760,9714,1543,412,833,7037,1156
2021-06-11,44863,1882,2013,6276,14293,4101,485,1916,11948,1949
2021-06-12,7528,662,444,738,2510,456,170,645,1266,637
2021-06-13,4438,74,453,569,1798,225,65,754,215,285
2021-06-14,22762,884,1098,2753,5907,403,244,1852,8172,1449
2021-06-15,24831,907,979,4434,5704,881,328,2046,7728,1824
2021-06-16,33866,1173,1620,7367,6773,1815,380,1754,9279,3705
2021-06-17,30364,1303,1718,6024,7862,1594,429,1453,7435,2546
2021-06-18,30029,785,1512,5474,8445,2002,437,1644,7436,2294
2021-06-19,10449,399,382,870,3302,1254,159,919,1762,1402
2021-06-20,6037,92,144,436,1637,207,13,209,3122,177
2021-06-21,3874,151,445,538,1291,169,21,705,317,237
2021-06-22,35940,815,1784,7351,6637,2153,258,1415,12077,3450
2021-06-23,48265,919,2366,9305,10518,2125,420,1432,18787,2393
2021-06-24,48464,810,2568,7890,10903,1659,412,1219,18652,4351
2021-06-25,58053,913,2826,8439,11776,2340,292,3189,22132,6146
2021-06-26,15097,265,1236,814,2958,1277,73,425,5256,2793
2021-06-27,12850,163,627,626,2346,277,70,508,7908,325
2021-06-28,49125,1260,2400,8568,10836,1906,203,1912,18000,4040
2021-06-29,49768,1303,2238,6890,11685,2762,267,2401,17679,4543
2021-06-30,41432,1247,1826,7010,10615,2361,439,1216,12603,4115
2021-07-01,56709,1896,2900,10639,15301,3784,823,1933,14156,5277
2021-07-02,73405,1853,4114,13347,18611,5365,384,2303,21159,6269
2021-07-03,17963,471,1684,2241,3555,1276,52,1393,4084,3207
2021-07-04,24082,322,2193,2418,3317,558,50,2111,11654,1459
2021-07-05,44918,1496,2286,8580,8759,1544,382,1129,16751,3991
2021-07-06,86106,1861,4312,14930,20297,4518,364,3024,31268,5532
2021-07-07,80018,3148,4085,12733,15172,3896,863,3026,29497,7598
2021-07-08,57766,2136,3303,10769,13633,2983,799,2676,15346,6121
2021-07-09,48802,1835,3420,9472,14259,3172,712,3211,7747,4974
2021-07-10,16314,55,1388,2254,3608,722,29,1624,5249,1385
2021-07-11,20603,222,1251,1608,2064,288,106,740,13584,740
2021-07-12,64724,1854,2795,9941,16213,2796,687,2580,23746,4112
2021-07-13,68511,1589,3818,10157,15930,2396,861,3446,25769,4545
2021-07-14,68025,1750,4159,12002,15102,1982,940,2827,25010,4253
2021-07-15,76538,1985,3829,12568,17773,2459,928,2392,28191,6413
2021-07-16,69117,1545,5331,14566,657,3532,806,2685,33508,6487
2021-07-17,27335,311,2114,4090,3414,1645,330,988,11148,3295
2021-07-18,36449,180,1109,4760,11551,280,19,1025,15833,1692
2021-07-19,90986,1629,4125,12955,21228,3345,914,3102,37674,6014
2021-07-20,87841,1805,3872,11906,18343,2586,993,3062,38900,6374
2021-07-21,88969,1877,4032,11882,19633,2911,881,3132,37620,7001
2021-07-22,91742,1683,3758,15023,21300,3021,1033,3730,35308,6886
2021-07-23,96762,1780,4739,16512,22758,3896,823,4972,34594,6688
2021-07-24,30170,152,2388,4766,6628,1127,392,1819,9040,3858
2021-07-25,37082,55,1393,3047,13464,532,300,1063,15013,2215
2021-07-26,99784,2281,4703,15658,22187,4835,961,3589,38500,7070
2021-07-27,108731,2614,4742,15035,24580,4086,1002,4995,43571,8106
2021-07-28,93740,1181,3875,16842,20701,3029,389,2671,38280,6772
2021-07-29,72927,838,2451,18510,16285,2001,221,1746,25591,5284
2021-07-30,60940,884,2956,15043,16318,2008,211,2953,16394,4173
2021-07-31,17565,38,1015,3887,4693,780,5,1291,4268,1588
2021-08-01,20718,1,547,5000,6773,34,0,141,7352,870
2021-08-02,59399,727,2655,12946,15901,2649,198,1566,17937,4820
2021-08-03,45403,594,1661,9402,11619,1867,181,1531,14050,4498
2021-08-04,39602,512,2576,8906,9238,1823,139,1367,10825,4213
2021-08-05,39602,512,2576,8906,9238,1823,139,1367,10825,4213
2021-08-06,3950,7,1230,363,744,132,0,122,214,1138
2021-08-07,9962,19,1535,1850,1901,288,0,278,2637,1454
2021-08-08,11396,0,745,3071,2141,89,6,279,4227,838
2021-08-09,44053,615,3254,9959,8358,3141,121,1949,11122,5534
2021-08-10,45257,1145,2778,10673,9262,3061,127,1851,12544,3816
2021-08-11,54298,1050,4836,14294,11256,4640,123,1769,11936,4394
2021-08-12,62940,1024,4043,17411,11618,3260,619,2176,18887,3902
2021-08-13,62898,865,4175,13415,13200,3766,530,2753,19634,4560
2021-08-14,15944,62,1223,2584,4869,978,0,1112,4682,434
2021-08-15,15152,1,627,2837,4019,752,1,1292,5391,232
2021-08-16,60273,1130,3705,18610,11328,3326,371,2221,15904,3678
2021-08-17,57947,1469,4255,15503,12006,3574,334,2328,15476,3002
2021-08-18,61551,2650,4023,10762,11999,6514,512,2482,19193,3416
2021-08-19,54659,1564,3248,8186,10796,4837,251,3368,18809,3600
2021-08-20,49248,2360,2859,7333,10526,3609,276,2362,17320,2603
2021-08-21,10914,42,1179,1554,3252,574,53,612,3171,477
2021-08-22,10318,44,397,2115,2295,369,3,598,4455,42
2021-08-23,48689,2216,3065,6804,10890,2704,206,2471,17012,3321
2021-08-24,91137,3262,5317,14108,19998,6656,456,5242,29827,6271
2021-08-25,94158,2733,5812,23734,20436,4433,779,3564,26671,5996
2021-08-26,99850,3011,5324,17088,24313,4142,690,5577,32842,6863
2021-08-27,98193,2314,5528,5896,21975,4923,655,35385,14628,6889
2021-08-28,39718,278,2026,8969,8783,1567,31,3309,14437,318
2021-08-29,38106,184,1521,9231,8642,1339,12,2261,14761,155
2021-08-30,99338,5382,13805,4315,24762,6512,939,15527,22910,5186
2021-08-31,69528,2867,4830,13386,13095,3338,1099,7286,21132,2495
2021-09-01,37996,2093,5718,2210,14611,2558,890,7137,977,1802
2021-09-02,24196,1917,2170,2500,8139,1778,990,4167,1338,1196
2021-09-03,24196,1917,2170,2500,8139,1778,990,4167,1338,1196
2021-09-04,18391,1269,1271,1714,5715,1335,544,3454,1909,1180
2021-09-05,3724,79,66,416,933,260,0,709,1166,95
2021-09-06,25154,1769,1669,3521,5949,1557,634,4198,3523,2334
2021-09-07,32512,1514,1856,8702,7947,1607,436,4416,3767,2267
2021-09-08,30746,1960,1962,4077,8070,1425,267,2883,7518,2584
2021-09-09,26873,1570,2116,3348,6983,2024,356,3359,5243,1874
2021-09-10,25001,1885,1593,3392,5833,1369,544,2885,5662,1838
2021-09-11,5319,50,306,601,2279,174,35,635,959,280
2021-09-12,3968,34,127,607,2154,35,6,336,619,50
2021-09-13,22929,1809,1876,2346,6138,1184,323,2918,4333,1998
2021-09-14,22929,1809,1876,2346,6138,1184,323,2918,4333,1998
2021-09-15,24066,2485,1529,3433,5802,1570,371,3188,4100,1588
2021-09-16,13680,1098,705,2828,3800,738,184,1617,1911,796
2021-09-17,13680,1098,705,2828,3800,738,184,1617,1911,796
2021-09-18,13680,1098,705,2828,3800,738,184,1617,1911,796
2021-09-19,27222,1238,1264,8551,5450,665,127,2462,6079,1385
2021-09-20,27222,1238,1264,8551,5450,665,127,2462,6079,1385
2021-09-21,52793,1427,1943,14089,13005,1746,206,2539,14853,2983
2021-09-22,52793,1427,1943,14089,13005,1746,206,2539,14853,2983
2021-09-23,52793,1427,1943,14089,13005,1746,206,2539,14853,2983
2021-09-24,35438,1533,2009,8233,12599,3699,29,2561,1834,2941
2021-09-25,9839,33,1296,1889,4303,801,1,717,510,289
2021-09-26,4849,23,80,711,2736,125,26,375,760,13
2021-09-27,48999,2002,2747,7500,16043,2941,220,3771,10547,3228
