,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2021-02-02,0.01,0.0,0.01,0.02,0.0,0.02,0.02,0.02,0.0,0.18
2021-02-03,0.03,0.01,0.03,0.04,0.02,0.02,0.05,0.03,0.01,0.25
2021-02-04,0.04,0.04,0.05,0.04,0.04,0.03,0.05,0.06,0.01,0.32
2021-02-05,0.06,0.06,0.07,0.05,0.06,0.04,0.08,0.12,0.03,0.36
2021-02-06,0.07,0.06,0.07,0.05,0.08,0.04,0.08,0.12,0.04,0.36
2021-02-07,0.07,0.06,0.07,0.05,0.09,0.04,0.08,0.12,0.04,0.36
2021-02-08,0.08,0.07,0.08,0.06,0.13,0.05,0.11,0.13,0.08,0.36
2021-02-09,0.08,0.07,0.08,0.07,0.13,0.05,0.12,0.14,0.12,0.36
2021-02-10,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-11,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-12,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-13,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-14,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-15,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-16,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-17,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-18,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-19,0.09,0.07,0.08,0.07,0.13,0.09,0.12,0.14,0.12,0.36
2021-02-20,0.09,0.07,0.08,0.07,0.13,0.09,0.14,0.14,0.13,0.36
2021-02-21,0.09,0.07,0.08,0.07,0.13,0.09,0.14,0.14,0.13,0.36
2021-02-22,0.09,0.07,0.08,0.07,0.13,0.1,0.14,0.15,0.13,0.41
2021-02-23,0.1,0.07,0.09,0.07,0.14,0.11,0.16,0.15,0.13,0.51
2021-02-24,0.11,0.08,0.11,0.08,0.15,0.11,0.18,0.18,0.13,0.58
2021-02-25,0.16,0.14,0.15,0.16,0.22,0.12,0.19,0.22,0.13,0.64
2021-02-26,0.16,0.14,0.15,0.16,0.22,0.12,0.19,0.22,0.13,0.64
2021-02-27,0.26,0.19,0.15,0.27,0.83,0.13,0.38,0.32,0.18,0.81
2021-02-28,0.26,0.19,0.15,0.27,0.83,0.13,0.38,0.32,0.18,0.81
2021-03-01,0.26,0.19,0.15,0.27,0.83,0.13,0.38,0.32,0.18,0.81
2021-03-02,0.48,0.48,0.31,0.38,1.17,0.23,0.97,0.73,0.4,1.12
2021-03-03,0.48,0.48,0.31,0.38,1.17,0.23,0.97,0.73,0.4,1.12
2021-03-04,0.48,0.48,0.31,0.38,1.17,0.23,0.97,0.73,0.4,1.12
2021-03-05,0.48,0.48,0.31,0.38,1.17,0.23,0.97,0.73,0.4,1.12
2021-03-06,0.91,0.86,0.89,0.78,1.27,0.63,1.48,1.26,1.11,1.35
2021-03-07,0.92,0.87,0.89,0.78,1.27,0.64,1.48,1.26,1.13,1.35
2021-03-08,0.96,0.9,0.94,0.84,1.33,0.66,1.54,1.29,1.18,1.38
2021-03-09,1.02,0.94,1.0,0.94,1.36,0.71,1.58,1.35,1.24,1.43
2021-03-10,1.09,1.0,1.08,1.01,1.4,0.76,1.66,1.43,1.3,1.49
2021-03-11,1.14,1.04,1.14,1.05,1.42,0.79,1.74,1.51,1.33,1.53
