fecha,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2021-05-14,283574,64643,55295,76053,15513,18168,19361,16310,14806,3425
2021-05-15,284582,65230,55320,76137,15544,18270,19400,16365,14889,3427
2021-05-16,285484,65697,55364,76143,15587,18521,19473,16366,14897,3436
2021-05-17,288562,66553,55468,76871,15653,19056,19545,16586,15287,3543
2021-05-18,291739,67499,55507,77557,15777,19524,19686,16801,15729,3659
2021-05-19,294279,68348,55573,78052,15807,19799,19801,16986,16106,3807
2021-05-20,296588,69232,55641,78522,15820,19971,19823,17199,16348,4032
2021-05-21,298610,70069,55742,78871,15836,20073,19962,17362,16539,4156
2021-05-22,299534,70509,55792,78811,15843,20156,20187,17416,16612,4208
2021-05-23,300370,70743,55795,78977,15843,20167,20511,17420,16647,4267
2021-05-24,302808,71417,55861,79955,15848,20269,20731,17552,16805,4370
2021-05-25,312537,72449,58489,84535,15857,20533,21395,17904,16919,4456
2021-05-26,326232,76732,61206,88162,17579,20689,21950,18330,17045,4539
2021-05-27,340036,83954,64178,90397,18052,20810,22220,18687,17134,4604
2021-05-28,345396,87018,64255,91462,18112,20907,22419,19194,17398,4631
2021-05-29,346649,87363,64258,91466,18116,21111,22777,19431,17454,4673
2021-05-30,347265,87616,64268,91474,18116,21163,23001,19441,17505,4681
2021-05-31,350094,88420,64309,91976,18135,21294,23537,19937,17680,4806
2021-06-01,353007,89415,64433,92267,18350,21485,23973,20384,17841,4859
2021-06-02,355153,90063,64608,92513,18483,21637,24068,20784,18067,4930
2021-06-03,356081,90266,64793,92694,18495,21702,24199,20818,18147,4967
2021-06-04,370714,97541,67251,96547,18541,21877,24615,20956,18362,5024
2021-06-05,374538,98887,67638,97167,18717,21983,25658,21011,18439,5038
2021-06-06,375298,99039,67913,97223,18886,22030,25667,21023,18441,5076
2021-06-07,407869,106778,81193,106162,20115,22108,25672,22102,18575,5164
2021-06-08,449158,116043,93924,118090,22739,22309,27101,24637,18782,5533
2021-06-09,477434,123757,101287,125947,24432,22527,29240,25552,18976,5716
2021-06-10,496574,129636,106354,130339,25262,22788,30929,26137,19149,5980
2021-06-11,519234,136362,111459,136411,26147,23392,32565,27246,19436,6216
2021-06-12,522603,137556,112033,136772,26390,23541,32947,27503,19583,6278
2021-06-13,524899,138657,112414,136829,26597,23654,33168,27674,19584,6322
2021-06-14,535671,141350,114705,139528,26889,24288,34036,28698,19720,6457
2021-06-15,544871,143310,116642,141688,27242,24936,34743,29719,19942,6649
2021-06-16,556599,146163,119387,144492,27563,25438,35480,30935,20269,6872
2021-06-17,565938,149422,120820,146537,28003,25982,35897,31649,20608,7020
2021-06-18,577200,152993,122361,149040,28982,26687,36451,32720,20808,7158
2021-06-19,582404,154505,122932,149526,29637,27118,36664,33884,20941,7197
2021-06-20,584097,155198,123304,149568,29837,27222,36752,34035,20979,7202
2021-06-21,586552,155867,123772,149766,29989,27539,37132,34176,21100,7211
2021-06-22,609192,158922,127919,158350,31501,28397,38248,37111,21393,7351
2021-06-23,631864,162017,132342,168076,32994,29142,39179,38930,21661,7523
2021-06-24,641351,163725,134075,170669,33763,29628,40211,39670,21859,7751
2021-06-25,655568,165864,135368,175995,34787,30218,41379,41937,22123,7897
2021-06-26,659378,167128,135670,176571,35069,30369,42130,42281,22199,7961
2021-06-27,662282,168464,135864,176833,35237,30548,42665,42415,22263,7993
2021-06-28,676525,171730,139369,180259,35882,31304,43715,43043,23102,8121
2021-06-29,691652,176104,141612,184169,36851,32084,44673,44086,23823,8250
2021-06-30,705522,180476,144035,187181,37893,32445,45357,44931,24584,8620
2021-07-01,720327,185181,145659,190662,39459,33114,45944,45627,25462,9219
2021-07-02,733181,188897,146802,193717,41589,33507,46540,46448,26225,9456
2021-07-03,735921,189792,147019,194070,41948,33596,46875,46664,26469,9488
2021-07-04,738540,190542,147380,194235,42012,34171,47278,46766,26645,9511
2021-07-05,745786,191663,149413,196316,42178,34411,47498,47042,27424,9841
2021-07-06,755898,193140,152226,199099,42850,35033,47887,47655,27904,10104
2021-07-07,769737,195252,155139,202265,44192,35691,48490,48682,29170,10856
2021-07-08,782236,198084,157572,204658,45280,36240,49088,50012,29818,11484
2021-07-09,790672,199889,159077,206458,45856,36696,49533,50681,30425,12057
2021-07-10,792843,200585,159396,206734,46018,36990,49733,50872,30443,12072
2021-07-11,796290,201032,159872,208326,46077,37179,50026,51009,30622,12147
2021-07-12,808679,205393,161703,210461,46889,38092,50452,51628,31350,12711
2021-07-13,821391,208828,163228,214163,47572,38841,51106,52189,32004,13460
2021-07-14,836887,212469,166005,218836,48058,39643,51982,52772,32826,14296
2021-07-15,866647,217837,171603,230214,48864,40441,53214,55666,33688,15120
2021-07-16,895479,218058,178364,243481,50393,41158,55318,58768,34231,15708
2021-07-17,917488,220090,178841,258928,51584,41395,55858,60492,34345,15955
2021-07-18,929229,221004,179066,268588,51649,41682,56222,60687,34370,15961
2021-07-19,980288,232590,185272,293221,53101,42885,57551,63792,35082,16794
2021-07-20,1030885,242514,190451,320097,54322,44097,58838,66977,35927,17662
2021-07-21,1083015,252380,196444,346908,55887,45584,60113,70528,36739,18432
2021-07-22,1144931,266358,205708,373646,57607,47930,62082,74616,37632,19352
2021-07-23,1214690,283543,217088,399923,60109,51593,64964,78794,38627,20049
2021-07-24,1236034,288722,219951,406845,60789,52831,66437,81415,38658,20386
2021-07-25,1263637,301555,220747,417743,60986,53444,67404,82523,38660,20575
2021-07-26,1340821,320722,231201,449049,64066,56119,70516,87634,40162,21352
2021-07-27,1425551,342514,240716,484922,66793,59891,73460,93330,41823,22102
2021-07-28,1502696,361701,254869,515665,68799,62157,76120,98601,42393,22391
2021-07-29,1563658,377094,271202,535998,70043,63652,77845,102514,42760,22550
2021-07-30,1613610,392602,285005,546945,71305,66322,80008,105669,43059,22695
2021-07-31,1627394,397033,288576,549352,71725,67524,80703,106698,43086,22697
2021-08-01,1644738,403560,293414,554334,71752,67644,81103,107147,43087,22697
2021-08-02,1691896,418878,305093,565934,73321,68987,82723,110777,43356,22827
2021-08-03,1727054,429299,312448,576013,74445,70344,83748,114299,43498,22960
2021-08-04,1756280,437366,319549,582943,75600,71588,84646,117894,43643,23051
2021-08-05,1786354,444680,325926,590085,76723,72796,88097,121164,43752,23131
2021-08-06,1789734,445408,326235,590280,76825,72907,89289,121904,43755,23131
2021-08-07,1797824,446836,327344,592644,77043,73133,90771,123156,43766,23131
2021-08-08,1806431,448236,329692,595659,77128,73367,91463,123984,43766,23136
2021-08-09,1839667,454389,337642,602784,79489,75109,94325,128683,44030,23216
2021-08-10,1875645,461654,346633,612097,81935,76692,96695,131829,44817,23293
