fecha,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2021-02-03,0,0,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0,0,0
2021-02-20,0,0,0,0,0,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,0,0,0,0
2021-02-22,210,12,24,0,0,54,10,25,0,85
2021-02-23,1030,31,166,244,25,123,122,74,6,239
2021-02-24,2634,264,588,619,99,173,276,224,42,349
2021-02-25,6630,1918,1320,1664,281,265,299,401,43,439
2021-02-26,0,0,0,0,0,0,0,0,0,0
2021-02-27,0,0,0,0,0,0,0,0,0,0
2021-02-28,7702,1918,1320,1664,487,365,524,672,237,515
2021-03-01,0,0,0,0,0,0,0,0,0,0
2021-03-02,9162,1918,1625,1810,697,566,767,795,469,515
2021-03-03,9540,1918,1661,2062,697,647,767,800,473,515
2021-03-04,9700,1918,1664,2140,699,696,789,800,479,515
2021-03-05,9785,1918,1664,2147,700,721,823,803,486,523
2021-03-06,9785,1918,1664,2147,700,721,823,803,486,523
2021-03-07,9785,1918,1664,2147,700,721,823,803,486,523
2021-03-08,9830,1918,1664,2147,700,740,823,803,507,528
2021-03-09,9870,1918,1664,2148,700,774,823,805,510,528
2021-03-10,9878,1918,1664,2154,700,776,823,805,510,528
2021-03-11,9938,1918,1664,2158,700,788,861,810,511,528
2021-03-12,9951,1918,1664,2159,700,788,869,810,511,532
2021-03-13,9951,1918,1664,2159,700,788,869,810,511,532
2021-03-14,9951,1918,1664,2159,700,788,869,810,511,532
2021-03-15,9996,1918,1664,2159,706,788,869,810,550,532
2021-03-16,10007,1918,1664,2159,706,799,869,810,550,532
2021-03-17,10061,1918,1664,2159,706,809,869,810,594,532
2021-03-18,11129,1919,1664,3046,846,810,869,846,597,532
2021-03-19,16939,2938,1664,5711,1987,819,1637,1054,597,532
2021-03-20,18572,3275,1664,5763,2924,819,1864,1086,645,532
2021-03-21,19502,3425,1664,5763,3574,819,1973,1107,645,532
2021-03-22,28235,6068,1978,8198,4458,939,3262,1758,823,751
2021-03-23,42142,10444,4191,10415,4931,1384,5553,2982,1336,906
2021-03-24,57297,14336,7689,13937,5201,2167,7202,3790,1966,1009
2021-03-25,71441,16936,11199,17734,5490,3131,8158,4816,2792,1185
2021-03-26,85907,19843,14673,22134,5802,3998,8646,5621,3902,1288
2021-03-27,88315,20371,15460,22478,5871,4147,8693,5906,4095,1294
2021-03-28,88718,20565,15530,22480,5871,4174,8708,5911,4185,1294
2021-03-29,95326,22467,16456,24600,6200,4568,9004,6105,4537,1389
2021-03-30,102366,23971,17701,27382,6435,4862,9252,6457,4826,1480
2021-03-31,109305,25536,19200,29760,6584,5106,9497,6993,5061,1568
2021-04-01,115012,27106,20269,31046,6746,5304,9859,7522,5220,1640
2021-04-02,115968,27249,20767,31129,6753,5329,10264,7549,5230,1698
2021-04-03,116692,27467,21075,31157,6762,5344,10270,7674,5242,1701
2021-04-04,117078,27791,21083,31167,6762,5359,10282,7681,5242,1711
2021-04-05,123707,29830,22430,32438,6960,5716,10496,8453,5565,1819
2021-04-06,128368,31096,23308,33550,7051,5874,10714,9153,5669,1953
2021-04-07,132692,32002,24277,34408,7155,6038,11162,9845,5793,2012
2021-04-08,137072,33050,25177,35356,7273,6277,11610,10290,5936,2103
2021-04-09,141041,34345,25787,36228,7357,6482,11967,10736,6002,2137
2021-04-10,141498,34509,25849,36257,7379,6551,12018,10787,6011,2137
2021-04-11,141665,34536,25880,36293,7380,6578,12018,10789,6045,2146
2021-04-12,144426,35155,26521,36847,7491,6809,12235,11015,6176,2177
2021-04-13,148195,35727,28009,37530,7660,7018,12533,11227,6263,2228
2021-04-14,153217,36538,30437,38279,7824,7269,12843,11338,6376,2313
2021-04-15,158820,37312,33396,39206,8001,7534,13135,11359,6474,2403
2021-04-16,165163,38212,36588,40283,8217,7786,13305,11585,6650,2537
2021-04-17,165891,38422,36892,40342,8241,7815,13307,11652,6670,2550
2021-04-18,166091,38513,36943,40342,8242,7844,13307,11670,6678,2552
2021-04-19,171505,39442,39171,42002,8337,8013,13425,11746,6761,2608
2021-04-20,177124,40619,40635,44221,8456,8340,13480,11823,6883,2667
2021-04-21,182723,41704,41405,47107,8723,8636,13572,11895,6980,2701
2021-04-22,188656,42861,42306,50050,8874,8987,13698,11997,7166,2717
2021-04-23,190475,43210,42517,50963,8926,9086,13723,12100,7198,2752
2021-04-24,190790,43277,42567,51022,8964,9165,13725,12108,7209,2753
2021-04-25,191024,43388,42601,51022,8974,9230,13732,12108,7211,2758
2021-04-26,198159,44636,44967,53439,9162,9838,13816,12174,7361,2766
2021-04-27,205988,46128,47327,55247,9584,10777,13927,12381,7829,2788
2021-04-28,214573,47880,48837,57548,10265,11802,14346,12668,8411,2816
2021-04-29,222503,49256,49981,59382,11173,12770,14853,13051,9153,2884
2021-04-30,232108,51526,50958,61953,12064,13660,17712,13485,9826,2924
2021-05-01,233549,52018,51043,62131,12465,13700,0,13527,9899,2969
2021-05-02,234756,52373,51180,62188,12876,13862,0,13553,9937,2972
2021-05-03,240869,53760,52076,63967,13291,14281,0,13899,10375,3009
2021-05-04,246822,54900,52932,65363,13650,14789,0,14371,10963,3035
2021-05-05,251786,55939,53310,66623,13970,15295,17366,14619,11582,3082
2021-05-06,256306,56755,53739,68003,14184,15895,17826,14762,12014,3128
2021-05-07,262106,58142,54108,70224,14465,16316,18076,14912,12662,3201
2021-05-08,263991,58726,54236,70478,14776,16445,18333,14940,12832,3225
2021-05-09,264656,58971,54270,70531,14856,16579,18405,14957,12857,3230
2021-05-10,269323,60156,54594,72171,15005,17004,18629,15148,13357,3259
2021-05-11,273580,61442,54713,73510,15224,17333,18922,15298,13847,3291
2021-05-12,276672,62609,54898,74136,15326,17716,19096,15512,14007,3302
2021-05-13,279981,63574,55114,75027,15396,17881,19192,16024,14421,3352
