,Beni,Bolivia,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosí,Santa Cruz,Tarija
2021-02-03,,,,,,,,,,
2021-02-04,,,,,,,,,,
2021-02-05,,,,,,,,,,
2021-02-06,,,,,,,,,,
2021-02-07,,,,,,,,,,
2021-02-08,,,,,,,,,,
2021-02-09,,,,,,,,,,
2021-02-10,,,,,,,,,,
2021-02-11,,,,,,,,,,
2021-02-12,,,,,,,,,,
2021-02-13,,,,,,,,,,
2021-02-14,,,,,,,,,,
2021-02-15,,,,,,,,,,
2021-02-16,,,,,,,,,,
2021-02-17,,,,,,,,,,
2021-02-18,,,,,,,,,,
2021-02-19,,,,,,,,,,
2021-02-20,,,,,,,,,,
2021-02-21,,,,,,,,,,
2021-02-22,,,,,,,,,,
2021-02-23,0.0,0.01,0.02,0.01,0.0,0.0,0.1,0.01,0.01,0.01
2021-02-24,0.01,0.01,0.02,0.02,0.01,0.01,0.07,0.01,0.01,0.03
2021-02-25,0.0,0.03,0.0,0.04,0.06,0.03,0.06,0.01,0.03,0.03
2021-02-26,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.02
2021-02-27,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.02
2021-02-28,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.02
2021-03-01,0.02,0.01,0.02,0.01,0.0,0.02,0.0,0.01,0.0,0.01
2021-03-02,0.02,0.01,0.02,0.01,0.0,0.02,0.0,0.01,0.0,0.01
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
2021-03-05,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
2021-03-06,0.89,0.74,1.21,0.72,0.72,1.01,0.65,0.46,0.65,0.98
2021-03-07,0.01,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.06,0.04,0.05,0.05,0.03,0.05,0.04,0.02,0.06,0.03
2021-03-09,0.06,0.06,0.05,0.05,0.04,0.03,0.05,0.05,0.1,0.06
2021-03-10,0.06,0.07,0.07,0.09,0.06,0.04,0.06,0.05,0.07,0.09
2021-03-11,0.03,0.05,0.09,0.06,0.04,0.03,0.04,0.03,0.04,0.08
2021-03-12,0.03,0.04,0.07,0.05,0.04,0.03,0.09,0.03,0.03,0.08
2021-03-13,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01
2021-03-14,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.04,0.03,0.02,0.03,0.04,0.02,0.07,0.02,0.02,0.07
2021-03-16,0.03,0.04,0.04,0.05,0.05,0.01,0.02,0.02,0.03,0.07
2021-03-17,0.04,0.04,0.07,0.05,0.04,0.01,0.05,0.02,0.02,0.13
2021-03-18,0.03,0.05,0.08,0.03,0.03,0.05,0.07,0.03,0.05,0.11
2021-03-19,0.01,0.1,0.15,0.13,0.07,0.23,0.02,0.01,0.1,0.09
2021-03-20,0.02,0.0,0.04,-0.09,0.02,0.19,0.0,0.0,0.0,0.03
2021-03-21,0.01,0.01,0.02,0.0,0.01,0.13,0.0,0.0,0.0,0.03
2021-03-22,0.05,0.1,0.23,0.04,0.12,0.19,0.17,0.03,0.09,0.14
2021-03-23,0.13,0.15,0.4,0.19,0.18,0.11,0.13,0.07,0.09,0.25
2021-03-24,0.16,0.17,0.29,0.3,0.16,0.08,0.13,0.11,0.13,0.16
2021-03-25,0.19,0.17,0.17,0.33,0.12,0.11,0.21,0.13,0.14,0.19
2021-03-26,0.27,0.18,0.11,0.34,0.13,0.09,0.15,0.13,0.17,0.16
2021-03-27,0.2,0.03,0.01,0.06,0.03,0.02,0.0,0.02,0.01,0.06
2021-03-28,0.02,0.01,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.0
2021-03-29,0.23,0.1,0.06,0.15,0.1,0.08,0.09,0.07,0.09,0.04
2021-03-30,0.16,0.12,0.05,0.19,0.1,0.07,0.08,0.06,0.12,0.08
2021-03-31,0.2,0.13,0.03,0.2,0.1,0.08,0.3,0.07,0.14,0.1
2021-04-01,0.27,0.12,0.09,0.16,0.1,0.06,0.53,0.07,0.1,0.11
2021-04-02,0.02,0.02,0.06,0.03,0.01,0.0,0.16,0.01,0.01,0.01
2021-04-03,0.08,0.01,0.0,0.02,0.01,0.01,0.15,0.0,0.01,0.02
2021-04-04,0.0,0.01,0.01,0.01,0.02,0.0,0.05,0.01,0.01,0.0
2021-04-05,0.3,0.14,0.05,0.26,0.12,0.12,0.32,0.1,0.09,0.14
2021-04-06,0.29,0.16,0.07,0.28,0.09,0.15,0.49,0.15,0.13,0.16
2021-04-07,0.27,0.18,0.17,0.25,0.1,0.35,0.36,0.2,0.14,0.22
2021-04-08,0.29,0.19,0.21,0.22,0.12,0.42,0.49,0.35,0.12,0.28
2021-04-09,0.28,0.2,0.28,0.17,0.15,0.46,0.47,0.3,0.13,0.32
2021-04-10,0.03,0.04,0.04,0.04,0.04,0.15,0.09,0.05,0.01,0.06
2021-04-11,0.02,0.02,0.03,0.02,0.02,0.11,0.06,0.01,0.02,0.01
2021-04-12,0.22,0.14,0.16,0.14,0.14,0.15,0.26,0.1,0.13,0.17
2021-04-13,0.24,0.16,0.16,0.18,0.16,0.21,0.42,0.12,0.12,0.2
2021-04-14,0.23,0.18,0.21,0.22,0.16,0.19,0.99,0.12,0.13,0.15
2021-04-15,0.23,0.18,0.32,0.24,0.17,0.19,0.98,0.11,0.13,0.04
2021-04-16,0.25,0.2,0.22,0.23,0.19,0.2,0.94,0.11,0.18,0.1
2021-04-17,0.03,0.05,0.23,0.03,0.04,0.22,0.36,0.02,0.01,0.03
2021-04-18,0.01,0.02,0.06,0.01,0.02,0.15,0.13,0.02,0.01,0.01
2021-04-19,0.23,0.16,0.14,0.16,0.16,0.1,0.87,0.07,0.15,0.1
2021-04-20,0.33,0.17,0.17,0.15,0.2,0.08,0.72,0.1,0.15,0.14
2021-04-21,0.27,0.16,0.16,0.1,0.18,0.06,0.72,0.09,0.19,0.14
2021-04-22,0.3,0.2,0.11,0.16,0.2,0.34,0.79,0.09,0.2,0.25
2021-04-23,0.4,0.24,0.58,0.15,0.19,0.74,0.96,0.14,0.15,0.24
2021-04-24,0.04,0.08,0.37,0.02,0.04,0.53,0.72,0.06,0.02,0.03
2021-04-25,0.01,0.03,0.03,0.01,0.03,0.3,0.13,0.06,0.01,0.0
2021-04-26,0.47,0.24,0.47,0.25,0.17,0.17,0.96,0.21,0.2,0.27
2021-04-27,0.56,0.3,0.59,0.25,0.33,0.14,1.32,0.2,0.18,0.39
2021-04-28,0.54,0.34,0.54,0.29,0.39,0.15,1.36,0.2,0.27,0.37
2021-04-29,0.5,0.32,0.45,0.3,0.35,0.19,0.66,0.21,0.28,0.36
2021-04-30,0.61,0.39,0.74,0.33,0.43,0.18,0.83,0.25,0.34,0.4
2021-05-01,0.06,0.03,-0.16,0.02,0.06,0.08,0.2,0.05,0.02,0.07
2021-05-02,0.02,0.03,0.11,0.02,0.03,0.08,0.06,0.03,0.01,0.01
2021-05-03,0.25,0.24,0.28,0.24,0.3,0.08,0.25,0.14,0.24,0.14
2021-05-04,0.37,0.27,0.34,0.35,0.17,0.32,0.19,0.16,0.3,0.27
2021-05-05,0.4,0.27,0.25,0.38,0.25,0.31,0.19,0.17,0.25,0.17
2021-05-06,0.31,0.22,0.21,0.23,0.32,0.08,0.15,0.13,0.16,0.15
2021-05-07,0.52,0.2,0.16,0.05,0.34,0.05,0.15,0.19,0.18,0.15
