,Beni,Bolivia,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosí,Santa Cruz,Tarija
2021-05-08,0.31,0.06,0.09,0.01,0.08,0.06,0.05,0.06,0.03,0.05
2021-05-09,0.02,0.01,0.03,0.0,0.02,0.01,0.01,0.04,0.01,0.0
2021-05-10,0.43,0.1,0.1,0.03,0.08,0.03,0.09,0.17,0.11,0.13
2021-05-11,0.54,0.1,0.09,0.02,0.08,0.04,0.09,0.17,0.09,0.12
2021-05-12,0.31,0.07,0.09,0.03,0.07,0.02,0.03,0.17,0.04,0.15
2021-05-13,0.42,0.22,0.02,0.51,0.24,0.01,0.13,0.16,0.11,0.13
2021-05-14,0.47,0.32,0.05,0.67,0.35,0.02,0.19,0.23,0.22,0.11
2021-05-15,0.08,0.08,0.13,0.18,0.06,0.16,0.01,0.06,0.03,0.03
2021-05-16,0.03,0.03,0.07,0.03,0.02,0.1,0.04,0.12,0.0,0.01
2021-05-17,0.32,0.34,0.02,0.45,0.31,0.42,0.31,0.26,0.36,0.38
2021-05-18,0.36,0.42,0.29,0.53,0.33,0.86,0.26,0.24,0.44,0.44
2021-05-19,0.33,0.44,0.38,0.65,0.36,0.86,0.29,0.2,0.42,0.47
2021-05-20,0.35,0.47,0.47,0.76,0.34,0.8,0.4,0.24,0.44,0.51
2021-05-21,0.3,0.48,0.52,0.68,0.36,0.66,0.41,0.27,0.51,0.54
2021-05-22,0.08,0.12,0.32,0.15,0.1,0.3,0.15,0.17,0.04,0.12
2021-05-23,0.03,0.05,0.27,0.04,0.05,0.02,0.14,0.06,0.01,0.02
2021-05-24,0.26,0.34,0.45,0.46,0.29,0.27,0.25,0.18,0.32,0.45
2021-05-25,0.22,0.36,0.23,0.56,0.28,0.34,0.31,0.19,0.39,0.5
2021-05-26,0.24,0.47,0.52,0.53,0.49,0.65,0.29,0.16,0.47,0.63
2021-05-27,0.1,0.45,0.42,0.46,0.57,0.53,0.16,0.15,0.49,0.39
2021-05-28,0.28,0.45,0.47,0.37,0.53,0.53,0.11,0.19,0.51,0.53
2021-05-29,0.04,0.12,0.23,0.04,0.15,0.25,0.07,0.12,0.05,0.4
2021-05-30,0.03,0.05,0.11,0.04,0.07,0.05,0.02,0.05,0.0,0.1
2021-05-31,0.2,0.4,0.47,0.29,0.37,0.4,0.29,0.21,0.51,0.68
2021-06-01,0.25,0.41,0.31,0.32,0.45,0.42,0.23,0.21,0.51,0.54
2021-06-02,0.24,0.33,0.2,0.21,0.39,0.28,0.24,0.18,0.42,0.35
2021-06-03,0.07,0.08,0.17,0.04,0.06,0.11,0.08,0.08,0.07,0.15
2021-06-04,0.25,0.33,0.37,0.18,0.47,0.27,0.22,0.15,0.33,0.51
2021-06-05,0.07,0.09,0.33,0.03,0.14,0.11,0.06,0.08,0.05,0.09
2021-06-06,0.02,0.03,0.11,0.03,0.05,0.05,0.03,0.05,0.0,0.01
2021-06-07,0.17,0.42,0.18,0.79,0.46,0.26,0.16,0.14,0.39,0.29
2021-06-08,0.32,0.53,0.41,0.69,0.56,0.63,0.42,0.23,0.5,0.65
2021-06-09,0.2,0.37,0.49,0.42,0.46,0.48,0.23,0.14,0.34,0.31
2021-06-10,0.18,0.25,0.32,0.28,0.33,0.29,0.27,0.09,0.21,0.2
2021-06-11,0.39,0.39,0.32,0.31,0.49,0.76,0.31,0.21,0.35,0.33
2021-06-12,0.14,0.06,0.07,0.04,0.09,0.08,0.11,0.07,0.04,0.11
2021-06-13,0.02,0.04,0.07,0.03,0.06,0.04,0.04,0.08,0.01,0.05
2021-06-14,0.18,0.2,0.17,0.14,0.2,0.07,0.16,0.21,0.24,0.25
2021-06-15,0.19,0.21,0.15,0.22,0.19,0.16,0.21,0.23,0.23,0.31
2021-06-16,0.24,0.29,0.25,0.36,0.23,0.34,0.25,0.19,0.28,0.64
2021-06-17,0.27,0.26,0.27,0.3,0.27,0.3,0.28,0.16,0.22,0.44
2021-06-18,0.16,0.26,0.24,0.27,0.29,0.37,0.28,0.18,0.22,0.39
2021-06-19,0.08,0.09,0.06,0.04,0.11,0.23,0.1,0.1,0.05,0.24
2021-06-20,0.02,0.05,0.02,0.02,0.06,0.04,0.01,0.02,0.09,0.03
2021-06-21,0.03,0.03,0.07,0.03,0.04,0.03,0.01,0.08,0.01,0.04
2021-06-22,0.17,0.31,0.28,0.36,0.23,0.4,0.17,0.16,0.36,0.59
2021-06-23,0.19,0.42,0.37,0.46,0.36,0.39,0.27,0.16,0.56,0.41
2021-06-24,0.17,0.42,0.4,0.39,0.37,0.31,0.27,0.14,0.55,0.75
2021-06-25,0.19,0.5,0.44,0.42,0.4,0.43,0.19,0.35,0.66,1.05
2021-06-26,0.06,0.13,0.19,0.04,0.1,0.24,0.05,0.05,0.16,0.48
2021-06-27,0.03,0.11,0.1,0.03,0.08,0.05,0.05,0.06,0.23,0.06
2021-06-28,0.26,0.42,0.38,0.42,0.37,0.35,0.13,0.21,0.53,0.69
2021-06-29,0.27,0.43,0.35,0.34,0.4,0.51,0.17,0.27,0.52,0.78
2021-06-30,0.26,0.36,0.29,0.35,0.36,0.44,0.29,0.13,0.37,0.71
2021-07-01,0.4,0.49,0.46,0.52,0.52,0.7,0.53,0.21,0.42,0.91
2021-07-02,0.39,0.63,0.65,0.66,0.64,1.0,0.25,0.26,0.63,1.08
2021-07-03,0.1,0.15,0.26,0.11,0.12,0.24,0.03,0.15,0.12,0.55
2021-07-04,0.07,0.21,0.34,0.12,0.11,0.1,0.03,0.23,0.35,0.25
2021-07-05,0.31,0.39,0.36,0.42,0.3,0.29,0.25,0.13,0.5,0.68
2021-07-06,0.39,0.74,0.68,0.74,0.69,0.84,0.24,0.34,0.93,0.95
2021-07-07,0.66,0.69,0.64,0.63,0.52,0.72,0.56,0.34,0.88,1.3
2021-07-08,0.44,0.5,0.52,0.53,0.47,0.55,0.52,0.3,0.46,1.05
2021-07-09,0.38,0.42,0.54,0.47,0.49,0.59,0.46,0.36,0.23,0.85
2021-07-10,0.01,0.14,0.22,0.11,0.12,0.13,0.02,0.18,0.16,0.24
2021-07-11,0.05,0.18,0.2,0.08,0.07,0.05,0.07,0.08,0.4,0.13
2021-07-12,0.39,0.56,0.44,0.49,0.55,0.52,0.45,0.29,0.7,0.71
2021-07-13,0.33,0.59,0.6,0.5,0.54,0.45,0.56,0.38,0.76,0.78
2021-07-14,0.36,0.59,0.65,0.59,0.52,0.37,0.61,0.31,0.74,0.73
2021-07-15,0.41,0.66,0.6,0.62,0.61,0.46,0.6,0.27,0.84,1.1
2021-07-16,0.32,0.59,0.84,0.72,0.02,0.66,0.52,0.3,0.99,1.11
2021-07-17,0.06,0.24,0.33,0.2,0.12,0.31,0.21,0.11,0.33,0.57
2021-07-18,0.04,0.31,0.17,0.23,0.39,0.05,0.01,0.11,0.47,0.29
2021-07-19,0.34,0.78,0.65,0.64,0.73,0.62,0.59,0.34,1.12,1.03
2021-07-20,0.38,0.76,0.61,0.59,0.63,0.48,0.64,0.34,1.15,1.09
2021-07-21,0.39,0.77,0.63,0.59,0.67,0.54,0.57,0.35,1.12,1.2
2021-07-22,0.35,0.79,0.59,0.74,0.73,0.56,0.67,0.41,1.05,1.18
2021-07-23,0.37,0.83,0.74,0.81,0.78,0.72,0.53,0.55,1.03,1.15
2021-07-24,0.03,0.26,0.37,0.23,0.23,0.21,0.25,0.2,0.27,0.66
2021-07-25,0.01,0.32,0.22,0.15,0.46,0.1,0.19,0.12,0.45,0.38
2021-07-26,0.48,0.86,0.74,0.77,0.76,0.9,0.62,0.4,1.14,1.21
2021-07-27,0.54,0.94,0.74,0.74,0.84,0.76,0.65,0.55,1.29,1.39
2021-07-28,0.25,0.81,0.61,0.83,0.71,0.56,0.25,0.3,1.14,1.16
2021-07-29,0.17,0.63,0.38,0.91,0.56,0.37,0.14,0.19,0.76,0.91
2021-07-30,0.18,0.52,0.46,0.74,0.56,0.37,0.14,0.33,0.49,0.72
2021-07-31,0.01,0.15,0.16,0.19,0.16,0.14,0.0,0.14,0.13,0.27
2021-08-01,0.0,0.18,0.09,0.25,0.23,0.01,0.0,0.02,0.22,0.15
2021-08-02,0.15,0.51,0.42,0.64,0.54,0.49,0.13,0.17,0.53,0.83
2021-08-03,0.12,0.39,0.26,0.46,0.4,0.35,0.12,0.17,0.42,0.77
2021-08-04,0.11,0.34,0.4,0.44,0.32,0.34,0.09,0.15,0.32,0.72
2021-08-05,0.11,0.34,0.4,0.44,0.32,0.34,0.09,0.15,0.32,0.72
2021-08-06,0.0,0.03,0.19,0.02,0.03,0.02,0.0,0.01,0.01,0.2
2021-08-07,0.0,0.09,0.24,0.09,0.06,0.05,0.0,0.03,0.08,0.25
2021-08-08,0.0,0.1,0.12,0.15,0.07,0.02,0.0,0.03,0.13,0.14
2021-08-09,0.13,0.38,0.51,0.49,0.29,0.58,0.08,0.22,0.33,0.95
2021-08-10,0.24,0.39,0.44,0.53,0.32,0.57,0.08,0.21,0.37,0.65
2021-08-11,0.22,0.47,0.76,0.7,0.38,0.86,0.08,0.2,0.35,0.75
2021-08-12,0.21,0.54,0.63,0.86,0.4,0.61,0.4,0.24,0.56,0.67
2021-08-13,0.18,0.54,0.66,0.66,0.45,0.7,0.34,0.31,0.58,0.78
2021-08-14,0.01,0.14,0.19,0.13,0.17,0.18,0.0,0.12,0.14,0.07
2021-08-15,0.0,0.13,0.1,0.14,0.14,0.14,0.0,0.14,0.16,0.04
2021-08-16,0.24,0.52,0.58,0.92,0.39,0.62,0.24,0.25,0.47,0.63
2021-08-17,0.31,0.5,0.67,0.76,0.41,0.66,0.22,0.26,0.46,0.51
2021-08-18,0.55,0.53,0.63,0.53,0.41,1.21,0.33,0.28,0.57,0.59
2021-08-19,0.33,0.47,0.51,0.4,0.37,0.9,0.16,0.37,0.56,0.62
2021-08-20,0.49,0.42,0.45,0.36,0.36,0.67,0.18,0.26,0.51,0.45
2021-08-21,0.01,0.09,0.19,0.08,0.11,0.11,0.03,0.07,0.09,0.08
2021-08-22,0.01,0.09,0.06,0.1,0.08,0.07,0.0,0.07,0.13,0.01
2021-08-23,0.46,0.42,0.48,0.34,0.37,0.5,0.13,0.27,0.5,0.57
2021-08-24,0.68,0.78,0.83,0.7,0.68,1.24,0.3,0.58,0.89,1.08
2021-08-25,0.57,0.81,0.91,1.17,0.7,0.82,0.51,0.4,0.79,1.03
2021-08-26,0.63,0.86,0.84,0.84,0.83,0.77,0.45,0.62,0.97,1.18
2021-08-27,0.48,0.85,0.87,0.29,0.75,0.92,0.43,3.92,0.43,1.18
2021-08-28,0.06,0.34,0.32,0.44,0.3,0.29,0.02,0.37,0.43,0.05
2021-08-29,0.04,0.33,0.24,0.45,0.3,0.25,0.01,0.25,0.44,0.03
2021-08-30,1.12,0.85,2.17,0.21,0.85,1.21,0.61,1.72,0.68,0.89
2021-08-31,0.6,0.6,0.76,0.66,0.45,0.62,0.71,0.81,0.63,0.43
2021-09-01,0.44,0.33,0.9,0.11,0.5,0.48,0.58,0.79,0.03,0.31
2021-09-02,0.4,0.21,0.34,0.12,0.28,0.33,0.64,0.46,0.04,0.21
2021-09-03,0.4,0.21,0.34,0.12,0.28,0.33,0.64,0.46,0.04,0.21
2021-09-04,0.26,0.16,0.2,0.08,0.2,0.25,0.35,0.38,0.06,0.2
2021-09-05,0.02,0.03,0.01,0.02,0.03,0.05,0.0,0.08,0.03,0.02
2021-09-06,0.37,0.22,0.26,0.17,0.2,0.29,0.41,0.47,0.1,0.4
2021-09-07,0.32,0.28,0.29,0.43,0.27,0.3,0.28,0.49,0.11,0.39
2021-09-08,0.41,0.26,0.31,0.2,0.28,0.26,0.17,0.32,0.22,0.44
2021-09-09,0.33,0.23,0.33,0.17,0.24,0.38,0.23,0.37,0.16,0.32
2021-09-10,0.39,0.22,0.25,0.17,0.2,0.25,0.35,0.32,0.17,0.32
2021-09-11,0.01,0.05,0.05,0.03,0.08,0.03,0.02,0.07,0.03,0.05
2021-09-12,0.01,0.03,0.02,0.03,0.07,0.01,0.0,0.04,0.02,0.01
2021-09-13,0.38,0.2,0.29,0.12,0.21,0.22,0.21,0.32,0.13,0.34
2021-09-14,0.38,0.2,0.29,0.12,0.21,0.22,0.21,0.32,0.13,0.34
2021-09-15,0.52,0.21,0.24,0.17,0.2,0.29,0.24,0.35,0.12,0.27
2021-09-16,0.23,0.12,0.11,0.14,0.13,0.14,0.12,0.18,0.06,0.14
2021-09-17,0.23,0.12,0.11,0.14,0.13,0.14,0.12,0.18,0.06,0.14
2021-09-18,0.23,0.12,0.11,0.14,0.13,0.14,0.12,0.18,0.06,0.14
2021-09-19,0.26,0.23,0.2,0.42,0.19,0.12,0.08,0.27,0.18,0.24
2021-09-20,0.26,0.23,0.2,0.42,0.19,0.12,0.08,0.27,0.18,0.24
2021-09-21,0.3,0.45,0.31,0.69,0.44,0.32,0.13,0.28,0.44,0.51
2021-09-22,0.3,0.45,0.31,0.69,0.44,0.32,0.13,0.28,0.44,0.51
2021-09-23,0.3,0.45,0.31,0.69,0.44,0.32,0.13,0.28,0.44,0.51
2021-09-24,0.32,0.3,0.32,0.41,0.43,0.69,0.02,0.28,0.05,0.5
2021-09-25,0.01,0.08,0.2,0.09,0.15,0.15,0.0,0.08,0.02,0.05
2021-09-26,0.0,0.04,0.01,0.04,0.09,0.02,0.02,0.04,0.02,0.0
